accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,0,conv1,0.36574074625968933,19,46,46,1.0,0.13450292397660818,0.26900584795321636,4.842105263157895,2.4210526315789473,2.4210526315789473,16,2,0,0,-0.09860132971833797,374,,6,-3465,0,13,0,3.4210526315789473,3.4210526315789473,6.478644120065789,3.2393220600328947,2.8947368421052633,,1,1,19,19,19,19,19.0,19.0,,0.6504868470246593,1.0,1.1102230246251565e-16,3.484169654672525,2.384185791015625e-07,6.890583259044207,0.8303300887373404,0.7902934663695037,5.684811720036234,18.339997667468772,5.77255916595459,24.98928478414344
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,1,layer1.0.conv1,0.2374131977558136,32,212,205,0.9669811320754716,0.21370967741935484,0.4274193548387097,13.25,6.625,6.625,16,9,0,0,-0.09261795536290712,2664,,6,-3452,0,58,0,7.625,7.625,6.873818874359131,3.4369094371795654,9.90625,,1,1,32,32,32,32,32.0,32.0,,0.6816447886470047,-0.05718074248640734,0.0,17.131409660255226,0.0,10.889560489897903,0.7086884475889129,0.5846783639636518,10.603354455823851,27.551530390323446,3.683502197265625,15.354997984356846
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,2,layer1.0.conv2,0.2139756977558136,32,215,205,0.9534883720930233,0.21673387096774194,0.4334677419354839,13.4375,6.71875,6.71875,16,7,0,0,-0.059244059271525824,2740,,6,-3452,0,66,0,7.71875,7.71875,6.213262379169464,3.106631189584732,10.71875,,1,1,32,32,32,32,32.0,32.0,,0.7811883092358857,-1.4258358009045486,4.440892098500626e-16,16.039645531972386,0.0,8.078874837597676,0.7342623760678937,0.6212436305856084,11.03350245317097,27.822809649969084,3.616781711578369,13.209989113767477
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,3,layer1.1.conv1,0.1818576455116272,32,203,193,0.9507389162561576,0.20463709677419356,0.4092741935483871,12.6875,6.34375,6.34375,15,6,0,0,-0.0598721282721725,2431,,6,-3452,0,69,0,7.34375,7.34375,5.944721132516861,2.9723605662584305,9.78125,,1,1,32,32,32,32,32.0,32.0,,0.5252886638563434,-0.0039598555125662585,0.0,15.071042912045751,0.0,9.37793290259697,0.7182643466906207,0.5979267154885782,10.185979388602442,26.265869878804573,4.10390567779541,13.39571684864807
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,4,layer1.1.conv2,0.1848958283662796,32,206,202,0.9805825242718447,0.20766129032258066,0.4153225806451613,12.875,6.4375,6.4375,16,9,0,0,-0.09171372008453665,2492,,6,-3452,0,60,0,7.4375,7.4375,5.491087079048157,2.7455435395240784,9.9375,,1,1,32,32,32,32,32.0,32.0,,0.4499428816106958,-0.025201514383450033,4.440892098500626e-16,16.06307069039039,1.1920928955078125e-07,8.100247168325296,0.729615609935116,0.6130125710922885,10.391873072672507,26.515186872528083,3.561563730239868,11.980252540590033
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,5,layer1.2.conv1,0.1701388955116272,32,195,191,0.9794871794871794,0.19657258064516128,0.39314516129032256,12.1875,6.09375,6.09375,16,7,0,0,-0.15018587095176403,2267,,6,-3452,0,57,0,7.09375,7.09375,5.533094674348831,2.7665473371744156,8.84375,,1,1,32,32,32,32,32.0,32.0,,0.27948011617084934,-0.0835492281225226,1.3322676295501878e-15,16.111411803668602,2.384185791015625e-07,7.70721735114903,0.6688592991453894,0.5296224100102468,9.382687397783247,25.739150936426697,3.5298962593078613,13.459852700261242
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,6,layer1.2.conv2,0.1532118022441864,32,195,190,0.9743589743589743,0.19657258064516128,0.39314516129032256,12.1875,6.09375,6.09375,15,9,0,0,-0.0944776473321644,2229,,6,-3452,0,56,0,7.09375,7.09375,5.046716213226318,2.523358106613159,9.0,,1,1,32,32,32,32,32.0,32.0,,0.8628096620856706,1.0,0.0,15.067520299647622,0.0,6.626563087149417,0.707248655011532,0.58106299889044,9.583600065334117,25.223163238909187,3.097043037414551,10.776490101464725
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,7,layer1.3.conv1,0.1280381977558136,32,164,161,0.9817073170731707,0.16532258064516128,0.33064516129032256,10.25,5.125,5.125,13,0,0,0,-0.05270661410866064,1614,,5,-3452,1,57,0,6.125,6.125,4.644164904952049,2.3220824524760246,7.65625,,2,2,31,31,1,1,16.0,16.0,,0.1351249561075448,-0.10804419823654057,0.0,12.999049742774723,0.0,7.390336612674325,0.6321783646814974,0.4819823062047692,7.582991383597561,22.033631655240413,2.6505556106567383,10.732386643400272
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,8,layer1.3.conv2,0.1236979141831398,32,171,170,0.9941520467836257,0.17237903225806453,0.34475806451612906,10.6875,5.34375,5.34375,15,4,0,0,-0.11855246378835518,1755,,6,-3452,0,58,0,6.34375,6.34375,4.500314563512802,2.250157281756401,7.65625,,1,1,32,32,32,32,32.0,32.0,,0.7650123860555776,1.0,0.0,12.34721418902138,0.0,5.496341291483759,0.6645408687976834,0.5268045081889118,8.211462452331359,23.052013079899112,2.9550375938415527,11.06287833166852
0.8176,grasp,0.98,Resnet-32,CIFAR-10,0,9,layer1.4.conv1,0.1189236119389534,32,150,150,1.0,0.15120967741935484,0.3024193548387097,9.375,4.6875,4.6875,15,3,0,0,-0.11527655326096349,1402,,6,-3452,0,53,0,5.6875,5.6875,4.177862882614136,2.088931441307068,6.5,,1,1,32,32,32,32,32.0,32.0,,0.6537966980141091,-0.15795343288881863,0.0,15.036982618541082,1.1920928955078125e-07,7.763852084217775,0.6304684901475232,0.489291084892142,7.1792399478593225,21.65353188565186,2.6371381282806396,10.59997596832967
